
test-simple-diode - Newton Raphson
*TIME*            CLASP::V0         CLASP::V1         CLASP::IE1        CLASP::V2         CLASP::ID1        CLASP::ID2        CLASP::V4         CLASP::ID3        CLASP::ID4        
            0.0;             0.0; .000000000000001;             0.0; .000000000000001;             0.0;             0.0; .000000000000000;             0.0;             0.0; 
            1.7;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            1.8;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            1.9;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.0;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.1;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.2;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.3;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.4;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.5;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.6;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.7;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.8;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            2.9;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            3.0;             0.0; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; #<DOUBLE-FLOAT quiet NaN>; 
            3.1;             0.0; 1.6375619020477; 56427856219900410.; 1.6791426610366;             0.0; -56427856219900410.; -.00000000000000;             0.0; 56427856219900410.; 
            3.2;             0.0; -0.029187085919; .00000000002073; 0.0291871066467; .00000000002073;             0.0; .00000002072772;             0.0; .00000000002073; 
            3.3;             0.0; -.0788727233692; .00000000019771; .07887292108097; .00000000019771;             0.0; .00000019771175;             0.0; .00000000019771; 
            3.4;             0.0; -.1277699266326; .00000000135214; .12777127877355; .00000000135214;             0.0; 0.0000013521409;             0.0; .00000000135214; 
            3.5;             0.0; -.1753873676029; .00000000849367; .17539586127134; .00000000849367;             0.0; .00000849366847;             0.0; .00000000849367; 
            3.6;             0.0; -.2212353827875; .00000004958464; .22128496743028; .00000004958464;             0.0; .00004958464274;             0.0; .00000004958464; 
            3.7;             0.0; -.2647857044606; 0.0000002647689; .26505047336534; 0.0000002647689;             0.0; .00026476890476;             0.0; 0.0000002647689; 
            3.8;             0.0; -.3053000093081; .00000125781286; .30655782217002; .00000125781286;             0.0; .00125781286191;             0.0; .00000125781286; 
            3.9;             0.0; -.3413653838053; .00000503548634; .34640087014295; .00000503548634;             0.0; .00503548633768;             0.0; .00000503548634; 
            4.0;             0.0; -.3706389977829; .00001552450373; .38616350151134; .00001552450373;             0.0; 0.0155245037284;             0.0; .00001552450373; 
            4.1;             0.0; -.3916934316606; .00003489019766; .42658362932492; .00003489019766;             0.0; .03489019766428;             0.0; .00003489019766; 
            4.2;             0.0; -.4057884732412; .00005999870707; .46578718031178; .00005999870707;             0.0; .05999870707055;             0.0; .00005999870707; 
            4.3;             0.0; -.4151241889064; .00008591762971; .50104181861237; .00008591762971;             0.0; .08591762970596;             0.0; .00008591762971; 
            4.4;             0.0; -.4213078664418; .00010898636844; .53029423488423; .00010898636844;             0.0; .10898636844247;             0.0; .00010898636844; 
            4.5;             0.0; -.4252791626697; .00012697179646; .55225095913354; .00012697179646;             0.0; .12697179646379;             0.0; .00012697179646; 
            4.6;             0.0; -.4275541976629; .00013858257223; 0.5661367698969; .00013858257223;             0.0; .13858257223399;             0.0; .00013858257223; 
            4.7;             0.0; -.4283944465269; .00014313433616; .57152878269064; .00014313433616;             0.0; .14313433616374;             0.0; .00014313433616; 
            4.8;             0.0; -.4278900783243; .00014038446327; .56827454159836; .00014038446327;             0.0; .14038446327409;             0.0; .00014038446327; 
            4.9;             0.0; -.4259873626791; .00013047784603; .55646520871299; .00013047784603;             0.0; .13047784603392;             0.0; .00013047784603; 
test-simple-diode - Newton Raphson
*TIME*            CLASP::V0         CLASP::V1         CLASP::IE1        CLASP::V2         CLASP::ID1        CLASP::ID2        CLASP::V4         CLASP::ID3        CLASP::ID4        
            0.0;             0.0; .000000000000001;             0.0; .000000000000001;             0.0;             0.0; .000000000000000;             0.0;             0.0; 
            0.1;             0.0; -.0499166816041; 0.0000000000582;  0.049916739805; 0.0000000000582;             0.0; .00000005820088;             0.0; 0.0000000000582; 
            0.2;             0.0; -.0993344414951; 0.0000000004463; .09933488779052; 0.0000000004463;             0.0; .00000044629542;             0.0; 0.0000000004463; 
            0.3;             0.0; -.1477586439291; .00000000292837; .14776157229749; .00000000292837;             0.0; .00000292836839;             0.0; .00000000292837; 
            0.4;             0.0; -.1947002353035; .00000001786316; 0.1947180984653; .00000001786316;             0.0; .00001786316175;             0.0; .00000001786316; 
            0.5;             0.0; -.2396624061504; .00000010073721; .23976314335674; .00000010073721;             0.0; .00010073720634;             0.0; .00000010073721; 
            0.6;             0.0; -0.282063935942; .00000051461707; .28257855301441; .00000051461707;             0.0; .00051461707237;             0.0; .00000051461707; 
            0.7;             0.0; -.3209602312907; .00000229720738; .32325743867311; .00000229720738;             0.0; .00229720738238;             0.0; .00000229720738; 
            0.8;             0.0; -.3545046832481; .00000834671928; .36285140252917; .00000834671928;             0.0; .00834671928105;             0.0; .00000834671928; 
            0.9;             0.0; -0.380375368656; .00002257618654; .40295155519124; .00002257618654;             0.0; .02257618653529;             0.0; .00002257618654; 
            1.0;             0.0; -.3982697119911; .00004493153282; .44320124481126; .00004493153282;             0.0; .04493153282002;             0.0; .00004493153282; 
            1.1;             0.0; -.4101395098496; .00007092837728; .48106788713452; .00007092837728;             0.0; .07092837728495;             0.0; .00007092837728; 
            1.2;             0.0; -0.418012785493; .00009601351106; .51402629655736; .00009601351106;             0.0; 0.0960135110644;             0.0; .00009601351106; 
            1.3;             0.0; -.4231914993071; .00011717519841; .54036669771438; .00011717519841;             0.0; .11717519840727;             0.0; .00011717519841; 
            1.4;             0.0; -.4264119151243; 0.0001326259011; .55903781622562; 0.0001326259011;             0.0; 0.1326259011013;             0.0; 0.0001326259011; 
            1.5;             0.0; -.4280694209438; .00014135615371; .56942557465022; .00014135615371;             0.0; .14135615370641;             0.0; .00014135615371; 
            1.6;             0.0; -.4283478292061; .00014287792996; .57122575916517; .00014287792996;             0.0; .14287792995906;             0.0; .00014287792996; 
            1.7;             0.0; -.4272767109384; .00013711140499; .56438811593152; .00013711140499;             0.0; .13711140499308;             0.0; .00013711140499; 
            1.8;             0.0; -0.424740255922; 0.0001243671158; .54910737171773; 0.0001243671158;             0.0; 0.1243671157957;             0.0; 0.0001243671158; 
            1.9;             0.0; -.4204419132665; .00010541626283; .52585817609282; .00010541626283;             0.0; .10541626282635;             0.0; .00010541626283; 
            2.0;             0.0; -.4138089532998; .00008167950007; .49548845337367; .00008167950007;             0.0; 0.0816795000739;             0.0; .00008167950007; 
